periodo,molienda_cereales_y_oleaginosas,resto_de_alimentos,bebidas,tabaco,textil_indumentaria_y_cuero,madera_papel_y_edicion,refinacion_de_petroleo,quimicos,caucho_y_plastico,minerales_no_metalicos,metales_basicos,metalmecanica,automotriz,resto_de_industria,total_industria
2019-12-01,70339.60099999998,134422.9080000001,55117.806,1696.136,46752.50000000004,95527.25499999996,67738.41500000001,202700.0900000001,64141.54200000002,146648.3769999999,160841.379,17741.675,25573.16299999999,1216.65,1090457.497
2020-01-01,82281.84500000002,136695.7660000001,59149.31599999999,2076.643,48371.14599999997,95966.24200000004,65486.75300000003,206648.3870000001,60281.54099999999,146390.786,152989.542,17694.65000000001,26581.75800000001,1127.279,1101741.654
2020-02-01,78374.18700000001,136555.308,53007.73100000003,1963.465,55470.14700000003,94297.79900000009,59634.12899999999,189870.016,63268.68100000003,146295.404,178257.2289999999,19059.429,31964.54500000001,1113.427,1109131.497
2020-03-01,81688.02700000006,139882.0710000001,51790.87699999999,1640.245,43785.03399999998,87870.894,61872.63300000002,206343.803,55907.22600000002,106833.85,148846.297,17359.355,25893.066,1205.546,1030918.924
2020-04-01,90237.97999999998,132610.3889999999,40814.07000000001,400.4450000000001,16638.61500000001,79987.36600000007,53982.73999999999,174971.192,37593.15800000002,54611.87099999999,54997.01600000002,10667.104,8676.354000000003,1074.971,757263.2709999999
2020-05-01,94301.22200000004,138167.201,36234.749,1665.244,32828.099,90653.34699999997,59520.65500000001,193276.8690000001,52041.48500000002,97091.03400000001,133480.193,15862.56,15977.022,1103.59,962203.2699999999
2020-06-01,89554.045,132454.265,35485.33200000002,2153.423,44996.18100000005,87966.54499999998,60703.20099999999,177115.902,57822.209,117235.899,151928.475,18422.621,25508.137,1226.007,1002572.242
2020-07-01,91991.97600000002,131748.4580000001,39550.73899999999,2108.244,51426.36699999999,98560.36800000002,62691.201,191793.1440000001,58118.01399999999,142465.2829999999,161766.0100000001,19264.91200000001,28691.529,1135.911,1081312.156
2020-08-01,93241.37800000003,132014.379,42866.969,1882.376,54363.92099999996,98357.70300000001,65973.09799999998,195700.3690000001,64573.04500000003,158885.823,175248.246,20711.842,30059.81299999999,1211.451,1135090.412999999
2020-09-01,84567.90699999999,129405.801,44220.92600000001,1715.31,55280.79700000001,100334.663,61055.30899999999,191651.314,66492.07699999998,161400.3510000001,189046.0420000001,20553.894,31276.497,1209.464,1138210.352
2020-10-01,86611.79999999997,133595.4929999999,47307.37599999999,1670.143,60457.81299999999,100236.14,66561.73000000003,198507.459,69330.88000000009,174616.496,206524.9810000001,21265.556,31132.046,1144.151,1198962.064
2020-11-01,91717.84899999997,135178.824,49420.00499999998,1912.542,61426.24400000004,99691.31700000001,67483.42999999999,208011.587,71812.425,172406.5659999999,222285.3070000001,22247.497,33361.24799999999,1263.727,1238218.568
2020-12-01,44683.313,132560.39,55207.37999999998,1740.666,48246.60199999999,94700.38400000001,69697.68699999998,209944.103,65706.00300000001,161230.309,213964.7779999998,20577.35400000001,30667.08500000001,1155.292,1150081.346
2021-01-01,80694.96800000001,135198.8090000001,56492.28100000002,1883.733,52315.28100000001,87337.81599999996,73543.76299999998,209302.9990000002,68647.57799999996,163113.358,224704.758,19490.18,28221.856,1251.09,1202198.47
2021-02-01,86386.30799999996,133471.333,50378.95099999999,1767.481,57647.93900000002,94846.08799999997,63543.39000000001,182102.8940000001,64287.28600000003,141443.0790000001,193276.9429999999,21765.00399999999,30314.06700000001,1308.315,1122539.078
2021-03-01,99354.81399999998,145863.0370000002,55164.83099999998,2210.738,64874.23300000001,100103.65,65023.51600000002,212200.9170000001,70265.24700000002,171848.251,258049.291,22707.632,37178.62799999998,1248.898,1306093.683
2021-04-01,94440.74200000006,141826.9219999999,48363.86499999999,1941.346,61497.14499999997,95586.60499999994,56291.885,212918.3340000001,67656.35300000005,165881.4369999999,228853.9569999999,21858.35,31884.864,1292.017,1230293.821999999
2021-05-01,99098.56399999994,137999.0880000001,42223.06699999997,1665.846,61085.09500000002,95922.75000000003,62521.06300000001,212879.895,65650.73999999999,161828.746,279737.664,21723.351,33785.90200000001,1233.332,1277355.103
2021-06-01,96265.60599999999,131946.125,42416.988,1807.965,60105.92499999995,101627.563,65243.73700000002,202533.3020000001,67541.38999999997,160896.609,271404.6,22228.52700000001,34748.356,1276.407,1260043.100000001
2021-07-01,99304.78700000001,137158.609,40909.22,1497.814,62399.70600000002,105994.521,66511.81300000002,189080.756,66928.72600000004,166134.2209999999,274060.6590000001,22700.662,33774.82400000002,1238.363,1267694.681
2021-08-01,86991.39700000001,138171.5160000001,46034.84800000001,1722.493,62738.96800000003,101173.155,65706.079,193639.5249999999,68304.35900000005,175013.3320000001,291276.3229999999,22913.531,35168.876,1323.829,1290178.231
2021-09-01,86296.73999999999,140048.46,47833.99599999998,1584.742,63804.38099999999,101931.1900000001,63654.37300000001,200064.3699999999,69552.01299999996,178962.3100000001,289857.17,22476.936,33955.328,1249.254,1301271.263
